Example,Model,Type,Index,Estimate,SE
Wagepan,Baseline,Effect,1,0.04095076023789749,0.03397090865623912
Wagepan,Baseline,Effect,2,0.021887815949315537,0.03933877924885641
Wagepan,Baseline,Effect,3,0.031101922708765502,0.042597583741255635
Wagepan,Baseline,Effect,4,0.018162701779377562,0.04720997040050727
Wagepan,Baseline,Effect,5,-0.049965771888946034,0.05462543453779023
Wagepan,Placebos,Effect,1,0.04095076023789749,0.03397090865623912
Wagepan,Placebos,Effect,2,0.021887815949315537,0.03933877924885641
Wagepan,Placebos,Effect,3,0.031101922708765502,0.042597583741255635
Wagepan,Placebos,Effect,4,0.018162701779377562,0.04720997040050727
Wagepan,Placebos,Effect,5,-0.049965771888946034,0.05462543453779023
Wagepan,Placebos,Placebo,1,-0.08839456832129522,0.04225816156185804
Wagepan,Placebos,Placebo,2,0.037090838193792254,0.05810365994698185
Wagepan,Normalized,Effect,1,0.04095076023789749,0.03397090865623912
Wagepan,Normalized,Effect,2,0.01407073882455999,0.025289215231407695
Wagepan,Normalized,Effect,3,0.014491445306062167,0.019847665391530097
Wagepan,Normalized,Effect,4,0.006759020700340887,0.01756859585515061
Wagepan,Normalized,Effect,5,-0.015279515480978225,0.016704438681152022
Wagepan,Normalized,Placebo,1,-0.08839456832129523,0.04225816156185805
Wagepan,Normalized,Placebo,2,0.02472722546252817,0.0387357732979879
Wagepan,Controls,Effect,1,0.04000482598269243,0.03274368140340514
Wagepan,Controls,Effect,2,0.010944538651130103,0.04322520279543123
Wagepan,Controls,Effect,3,-8.078618254728215e-05,0.051159491437816854
Wagepan,Controls,Effect,4,-0.004685238315587403,0.05112074392833683
Wagepan,Controls,Effect,5,-0.07045479772713738,0.05868577977396961
Wagepan,Controls,Placebo,1,-0.06750984709651081,0.04410153013624513
Wagepan,Controls,Placebo,2,0.05850199922847215,0.0610738763853125
Wagepan,Trends_Nonparam,Effect,1,0.039749768654478525,0.03372620274658454
Wagepan,Trends_Nonparam,Effect,2,0.025860601348688245,0.03908071967176373
Wagepan,Trends_Nonparam,Effect,3,0.03343696960142893,0.04244150055005968
Wagepan,Trends_Nonparam,Effect,4,0.020902598930041122,0.046645290831878516
Wagepan,Trends_Nonparam,Effect,5,-0.04369522519875512,0.05471097829312002
Wagepan,Trends_Nonparam,Placebo,1,-0.09316345608566115,0.04190194125266707
