"Example","Model","Type","Index","Estimate","SE"
"Wagepan","Baseline","Effect",1,0.0409507589219753,0.0339709086428129
"Wagepan","Baseline","Effect",2,0.0218878146052099,0.0393387790490505
"Wagepan","Baseline","Effect",3,0.0311019215194921,0.0425975834153738
"Wagepan","Baseline","Effect",4,0.0181627023972096,0.047209970184856
"Wagepan","Baseline","Effect",5,-0.0499657708663151,0.0546254344032438
"Wagepan","Placebos","Effect",1,0.0409507589219753,0.0339709086428129
"Wagepan","Placebos","Effect",2,0.0218878146052099,0.0393387790490505
"Wagepan","Placebos","Effect",3,0.0311019215194921,0.0425975834153738
"Wagepan","Placebos","Effect",4,0.0181627023972096,0.047209970184856
"Wagepan","Placebos","Effect",5,-0.0499657708663151,0.0546254344032438
"Wagepan","Placebos","Placebo",1,-0.0883945688414893,0.0422581614516339
"Wagepan","Placebos","Placebo",2,0.0370908370919698,0.0581036594868833
"Wagepan","Normalized","Effect",1,0.0409507589219753,0.0339709086428129
"Wagepan","Normalized","Effect",2,0.014070737960492,0.025289215102961
"Wagepan","Normalized","Effect",3,0.0144914447519392,0.0198476652396906
"Wagepan","Normalized","Effect",4,0.00675902093025931,0.0175685957748987
"Wagepan","Normalized","Effect",5,-0.015279515168258,0.0167044386400078
"Wagepan","Normalized","Placebo",1,-0.0883945688414893,0.0422581614516339
"Wagepan","Normalized","Placebo",2,0.0247272247279799,0.0387357729912555
"Wagepan","Controls","Effect",1,0.0400048246508408,0.0320587443849819
"Wagepan","Controls","Effect",2,0.0109445372502894,0.0369062455696514
"Wagepan","Controls","Effect",3,-8.07874683044826e-05,0.0413425478658112
"Wagepan","Controls","Effect",4,-0.00468523776391118,0.0477966502379792
"Wagepan","Controls","Effect",5,-0.0704547967770118,0.0547628546637807
"Wagepan","Controls","Placebo",1,-0.0675098462549854,0.0417435974409961
"Wagepan","Controls","Placebo",2,0.0585019968956182,0.0586135698728579
"Wagepan","Trends_Nonparam","Effect",1,0.0397497671998484,0.0337262027466856
"Wagepan","Trends_Nonparam","Effect",2,0.0258605998123675,0.039080719471039
"Wagepan","Trends_Nonparam","Effect",3,0.0334369684189782,0.0424415002014662
"Wagepan","Trends_Nonparam","Effect",4,0.0209025993186085,0.0466452906175303
"Wagepan","Trends_Nonparam","Effect",5,-0.0436952242750416,0.0547109781484224
"Wagepan","Trends_Nonparam","Placebo",1,-0.0931634566146544,0.0419019411762596
"Wagepan","Trends_Nonparam","Placebo",2,0.0269629371186276,0.0587613667297537
"Wagepan","Trends_Lin","Effect",1,-0.0660763199493341,0.0720155519537213
"Wagepan","Trends_Lin","Effect",2,-0.197420168405642,0.118881140343982
"Wagepan","Trends_Lin","Effect",3,-0.267400029826524,0.173514313888935
"Wagepan","Trends_Lin","Effect",4,-0.35757634080273,0.252807622582512
"Wagepan","Trends_Lin","Effect",5,-0.528716166647606,0.354921383357764
"Wagepan","Trends_Lin","Placebo",1,-0.174808163366108,0.0939974424483986
"Wagepan","Trends_Lin","Placebo",2,-0.211501858193003,0.1354876925386
"Wagepan","Continuous","Effect",1,0.0409507589219753,0.033972316621048
"Wagepan","Continuous","Effect",2,0.0131839836044913,0.0403667917983185
"Wagepan","Continuous","Effect",3,0.0228333406576745,0.0430415432449484
