"Example","Model","Effect","Estimate","SE"
"Wagepan","Baseline",1,0.0409507589219753,0.0339709086428129
"Wagepan","Baseline",2,0.0218878146052098,0.0393387790490505
"Wagepan","Baseline",3,0.0311019215194921,0.0425975834153738
"Wagepan","Baseline",4,0.0181627023972097,0.047209970184856
"Wagepan","Baseline",5,-0.0499657708663151,0.0546254344032438
"Wagepan","Placebos",1,0.0409507589219753,0.0339709086428129
"Wagepan","Placebos",2,0.0218878146052098,0.0393387790490505
"Wagepan","Placebos",3,0.0311019215194921,0.0425975834153738
"Wagepan","Placebos",4,0.0181627023972097,0.047209970184856
"Wagepan","Placebos",5,-0.0499657708663151,0.0546254344032438
"Wagepan","Normalized",1,0.0409507589219753,0.0339709086428129
"Wagepan","Normalized",2,0.0140707379604921,0.025289215102961
"Wagepan","Normalized",3,0.0144914447519392,0.0198476652396906
"Wagepan","Normalized",4,0.00675902093025931,0.0175685957748987
"Wagepan","Normalized",5,-0.0152795151682581,0.0167044386400078
"Wagepan","Controls",1,0.0400048246508408,0.0327436813912981
"Wagepan","Controls",2,0.0109445372502894,0.0432252026831132
"Wagepan","Controls",3,-8.07874683044946e-05,0.0511594911966377
"Wagepan","Controls",4,-0.00468523776391117,0.051120743694468
"Wagepan","Controls",5,-0.0704547967770116,0.0586857796344611
"Wagepan","Trends_Nonparam",1,0.0397497671998484,0.0337262027466857
"Wagepan","Trends_Nonparam",2,0.0258605998123675,0.0390807194710391
"Wagepan","Trends_Nonparam",3,0.0334369684189782,0.0424415002014662
"Wagepan","Trends_Nonparam",4,0.0209025993186085,0.0466452906175303
"Wagepan","Trends_Nonparam",5,-0.0436952242750416,0.0547109781484224
"Wagepan","Trends_Lin",1,-0.0660763199493342,0.0720155519537213
"Wagepan","Trends_Lin",2,-0.197420168405642,0.118881140343982
"Wagepan","Trends_Lin",3,-0.267400029826524,0.173514313888935
"Wagepan","Trends_Lin",4,-0.35757634080273,0.252807622582512
"Wagepan","Trends_Lin",5,-0.528716166647607,0.354921383357764
"Wagepan","Cluster",1,0.0409507589219753,0.0285618462484819
"Wagepan","Cluster",2,0.0218878146052098,0.0255911893841904
"Wagepan","Cluster",3,0.0311019215194921,0.0278902117429067
"Wagepan","Cluster",4,0.0181627023972097,0.010076505316252
"Wagepan","Cluster",5,-0.0499657708663151,0.0275674121227839
"Wagepan","Same_Switchers",1,0.0465925483984899,0.0409018030995624
"Wagepan","Same_Switchers",2,0.0338583180940893,0.0469162293330123
"Wagepan","Same_Switchers",3,0.0485448821903344,0.0492838846515323
"Wagepan","Same_Switchers",4,0.0374830523439772,0.0510270899893796
"Wagepan","Same_Switchers",5,-0.0499657708663151,0.0546254344032438
"Wagepan","Switchers_In",1,0.0693367423052272,0.050415114969721
"Wagepan","Switchers_In",2,0.0392462858559662,0.0506126328568969
"Wagepan","Switchers_In",3,0.0446190393252549,0.0584115544842666
"Wagepan","Switchers_In",4,0.024455531708394,0.0656956293757392
"Wagepan","Switchers_In",5,-0.037947135980127,0.0765452883925381
"Wagepan","Switchers_Out",1,0.0015410926714412,0.0410324174701138
"Wagepan","Switchers_Out",2,-0.00101820931331396,0.0621764040022482
"Wagepan","Switchers_Out",3,0.0131286110305108,0.0617730518487422
"Wagepan","Switchers_Out",4,0.00930612781109834,0.0660923682339909
"Wagepan","Switchers_Out",5,-0.0662071693611638,0.0761446588470561
"Favara_Imbs","Baseline",1,0.00241027522111182,0.00299878882855916
"Favara_Imbs","Baseline",2,0.00552681590962132,0.00388879899431986
"Favara_Imbs","Baseline",3,0.0081491954413895,0.0051571048632595
"Favara_Imbs","Baseline",4,0.0116606590571965,0.00591468886121769
"Favara_Imbs","Baseline",5,0.0173245008725871,0.00654886096840859
"Deryugina","Baseline",1,0.0108629234897964,0.0016169631261746
"Deryugina","Baseline",2,0.0127917837790873,0.00236509733740632
"Deryugina","Baseline",3,0.0158004613717625,0.00300746061170517
"Deryugina","Baseline",4,0.0163886434481568,0.00339298013330418
"Deryugina","Baseline",5,0.0230699233229095,0.00389684700340045
"Deryugina","Baseline",6,0.0268285222080967,0.00425075075879542
"Deryugina","Baseline",7,0.0377147267972461,0.00449256856996367
"Deryugina","Baseline",8,0.0392922472125829,0.00503943584056353
"Deryugina","Baseline",9,0.0351089739263345,0.00551851736934595
"Deryugina","Baseline",10,0.0494015841376323,0.00602901861964065
"Deryugina","Baseline",11,0.051812285209058,0.00610549191090275
"Gentzkow","Non_Normalized",1,0.0144244335391573,0.00424765182705097
"Gentzkow","Non_Normalized",2,0.0190899411679104,0.00584288926562409
"Gentzkow","Non_Normalized",3,0.0207146714134795,0.00791636125785668
"Gentzkow","Non_Normalized",4,0.0272653455884051,0.00979235687694241
"Gentzkow","Normalized",1,0.0120185712064908,0.00353918272112441
"Gentzkow","Normalized",2,0.0082125706085623,0.0025136348105991
"Gentzkow","Normalized",3,0.00571920220843545,0.00218566203078873
"Gentzkow","Normalized",4,0.00538727039529568,0.00193483974491621
