Example,Model,Type,Index,Estimate,SE,Platform
Wagepan,Baseline,Effect,1,0.0409507582209782,0.0339709095495669,Stata
Wagepan,Baseline,Effect,2,0.0218878152185475,0.0393387800621144,Stata
Wagepan,Baseline,Effect,3,0.0311019248212154,0.04259758453805,Stata
Wagepan,Baseline,Effect,4,0.0181626955133226,0.0472099724664976,Stata
Wagepan,Baseline,Effect,5,-0.0499657834854421,0.0546254372201278,Stata
Wagepan,Baseline,Avg_Effect,0,0.0235192212472678,0.0551657021888198,Stata
Wagepan,Placebos,Effect,1,0.0409507582209782,0.0339709095495669,Stata
Wagepan,Placebos,Effect,2,0.0218878152185475,0.0393387800621144,Stata
Wagepan,Placebos,Effect,3,0.0311019248212154,0.04259758453805,Stata
Wagepan,Placebos,Effect,4,0.0181626955133226,0.0472099724664976,Stata
Wagepan,Placebos,Effect,5,-0.0499657834854421,0.0546254372201278,Stata
Wagepan,Placebos,Placebo,1,-0.0883945682592297,0.0422581613598943,Stata
Wagepan,Placebos,Placebo,2,0.0370908339898777,0.0581036599982282,Stata
Wagepan,Placebos,Avg_Effect,0,0.0235192212472678,0.0551657021888198,Stata
Wagepan,Normalized,Effect,1,0.0409507583273315,0.0339709096377928,Stata
Wagepan,Normalized,Effect,2,0.0140707385586475,0.0252892161206247,Stata
Wagepan,Normalized,Effect,3,0.0144914461125008,0.0198476655192342,Stata
Wagepan,Normalized,Effect,4,0.0067590183181489,0.0175685964930866,Stata
Wagepan,Normalized,Effect,5,-0.0152795192906782,0.0167044397894782,Stata
Wagepan,Normalized,Placebo,1,-0.0883945691621365,0.0422581617915406,Stata
Wagepan,Normalized,Placebo,2,0.0247272216889652,0.0387357718111311,Stata
Wagepan,Normalized,Avg_Effect,0,0.0235192212472678,0.0551657021888198,Stata
Wagepan,Controls,Effect,1,0.0400048207440371,0.0320587451340442,Stata
Wagepan,Controls,Effect,2,0.0109445389573796,0.0369062458282702,Stata
Wagepan,Controls,Effect,3,-8.07837809547e-05,0.0413425492016887,Stata
Wagepan,Controls,Effect,4,-0.0046852471560577,0.0477966529733423,Stata
Wagepan,Controls,Effect,5,-0.0704548068549655,0.0547628581802483,Stata
Wagepan,Controls,Placebo,1,-0.0675098459616009,0.0417435974659112,Stata
Wagepan,Controls,Placebo,2,0.0585019982869549,0.0586135710145728,Stata
Wagepan,Controls,Avg_Effect,0,-0.0012677810231753,0.054288244406418,Stata
Wagepan,Trends_Nonparam,Effect,1,0.0397497676309986,0.0337262025871201,Stata
Wagepan,Trends_Nonparam,Effect,2,0.0258606001099789,0.0390807189507443,Stata
Wagepan,Trends_Nonparam,Effect,3,0.0334369730529025,0.0424415002838349,Stata
Wagepan,Trends_Nonparam,Effect,4,0.0209025946129626,0.046645290890076,Stata
Wagepan,Trends_Nonparam,Effect,5,-0.0436952363849199,0.0547109779965653,Stata
Wagepan,Trends_Nonparam,Placebo,1,-0.0931634567127939,0.0419019412033874,Stata
Wagepan,Trends_Nonparam,Placebo,2,0.026962938048629,0.0587613665821016,Stata
Wagepan,Trends_Nonparam,Avg_Effect,0,0.0274088016044724,0.0548726760798829,Stata
Wagepan,Trends_Lin,Effect,1,-0.0660763188906616,0.0720155514468407,Stata
Wagepan,Trends_Lin,Effect,2,-0.1974201671027262,0.1188811412707597,Stata
Wagepan,Trends_Lin,Effect,3,-0.267400020925294,0.1735143202846322,Stata
Wagepan,Trends_Lin,Effect,4,-0.3575763401596747,0.252807625529,Stata
Wagepan,Trends_Lin,Effect,5,-0.5287161667448887,0.3549213885838881,Stata
Wagepan,Trends_Lin,Placebo,1,-0.174808172270049,0.0939974442623482,Stata
Wagepan,Trends_Lin,Placebo,2,-0.2115018504244006,0.1354876937468019,Stata
Wagepan,Continuous,Effect,1,0.0409507593036407,0.0339723172542539,Stata
Wagepan,Continuous,Effect,2,0.0131839880261291,0.0403667929760334,Stata
Wagepan,Continuous,Effect,3,0.0228333521193911,0.0430415441948063,Stata
Wagepan,Continuous,Effect,4,0.0057284711595916,0.0484573067500093,Stata
Wagepan,Continuous,Effect,5,-0.0579701054606847,0.0558354383492891,Stata
Wagepan,Continuous,Placebo,1,-0.078758077065905,0.0381338411067157,Stata
Wagepan,Continuous,Placebo,2,0.0373961858411582,0.0519353001129,Stata
Wagepan,Continuous,Avg_Effect,0,0.0127485028415472,0.0564189260788359,Stata
Wagepan,Weight,Effect,1,0.0504640634454693,0.0339455431042898,Stata
Wagepan,Weight,Effect,2,0.0249797646027836,0.0399114389780823,Stata
Wagepan,Weight,Effect,3,0.0418596377876751,0.0426164221367438,Stata
Wagepan,Weight,Effect,4,0.0208927830932192,0.0487201053129559,Stata
Wagepan,Weight,Effect,5,-0.0575851513517149,0.0565596216124375,Stata
Wagepan,Weight,Placebo,1,-0.0811646015106683,0.0424708520077906,Stata
Wagepan,Weight,Placebo,2,0.0408665349288339,0.0611291130064953,Stata
Wagepan,Weight,Avg_Effect,0,0.0300053990089576,0.0560512971692934,Stata
Wagepan,Cluster,Effect,1,0.0409507582209782,0.0285618486337557,Stata
Wagepan,Cluster,Effect,2,0.0218878152185475,0.0255911883632005,Stata
Wagepan,Cluster,Effect,3,0.0311019248212154,0.0278902094708234,Stata
Wagepan,Cluster,Effect,4,0.0181626955133226,0.0100765036849366,Stata
Wagepan,Cluster,Effect,5,-0.0499657834854421,0.0275674130427932,Stata
Wagepan,Cluster,Placebo,1,-0.0883945682592297,0.1009125930606319,Stata
Wagepan,Cluster,Placebo,2,0.0370908339898777,0.0958356814697646,Stata
Wagepan,Cluster,Avg_Effect,0,0.0235192212472678,0.0172026512035339,Stata
Wagepan,Same_Switchers,Effect,1,0.046592549897415,0.0409018039925299,Stata
Wagepan,Same_Switchers,Effect,2,0.0338583159110927,0.046916230880135,Stata
Wagepan,Same_Switchers,Effect,3,0.0485448789022384,0.0492838862576792,Stata
Wagepan,Same_Switchers,Effect,4,0.0374830390421733,0.0510270921125032,Stata
Wagepan,Same_Switchers,Effect,5,-0.0499657834854421,0.0546254372201278,Stata
Wagepan,Same_Switchers,Placebo,1,-0.0869863842789152,0.0678572200171373,Stata
Wagepan,Same_Switchers,Placebo,2,0.078225523004428,0.097892183195396,Stata
Wagepan,Same_Switchers,Avg_Effect,0,0.0356296408025937,0.0646071775779285,Stata
Wagepan,Same_Switchers_Placebo,Effect,1,0.046592549897415,0.0409018039925299,Stata
Wagepan,Same_Switchers_Placebo,Effect,2,0.0338583159110927,0.046916230880135,Stata
Wagepan,Same_Switchers_Placebo,Effect,3,0.0485448789022384,0.0492838862576792,Stata
Wagepan,Same_Switchers_Placebo,Effect,4,0.0374830390421733,0.0510270921125032,Stata
Wagepan,Same_Switchers_Placebo,Effect,5,-0.0499657834854421,0.0546254372201278,Stata
Wagepan,Same_Switchers_Placebo,Placebo,1,-0.0496879954055516,0.1407298862992345,Stata
Wagepan,Same_Switchers_Placebo,Placebo,2,0.078225523004428,0.097892183195396,Stata
Wagepan,Same_Switchers_Placebo,Avg_Effect,0,0.0356296408025937,0.0646071775779285,Stata
Wagepan,Switchers_In,Effect,1,0.0693367395718761,0.0504151157015638,Stata
Wagepan,Switchers_In,Effect,2,0.0392462862753779,0.0506126346909091,Stata
Wagepan,Switchers_In,Effect,3,0.044619040830283,0.058411557718801,Stata
Wagepan,Switchers_In,Effect,4,0.0244555224758496,0.0656956321410622,Stata
Wagepan,Switchers_In,Effect,5,-0.0379471537956131,0.0765452925280895,Stata
Wagepan,Switchers_In,Placebo,1,-0.0920765806574785,0.0498936510423873,Stata
Wagepan,Switchers_In,Placebo,2,0.0362436529855594,0.0687048177716713,Stata
Wagepan,Switchers_In,Avg_Effect,0,0.05619417689228,0.0892194350558397,Stata
Wagepan,Switchers_Out,Effect,1,0.0015410937398775,0.041032418556608,Stata
Wagepan,Switchers_Out,Effect,2,-0.0010182020143358,0.0621764046179762,Stata
Wagepan,Switchers_Out,Effect,3,0.0131286166164033,0.0617730507939989,Stata
Wagepan,Switchers_Out,Effect,4,0.0093061265527108,0.0660923697786084,Stata
Wagepan,Switchers_Out,Effect,5,-0.0662071708111315,0.0761446614534198,Stata
Wagepan,Switchers_Out,Placebo,1,-0.0820640908024453,0.0764612945613996,Stata
Wagepan,Switchers_Out,Placebo,2,0.0383333746104612,0.1019180934762208,Stata
Wagepan,Switchers_Out,Avg_Effect,0,-0.0081432706069782,0.0657594164165135,Stata
Wagepan,Only_Never_Switchers,Effect,1,0.0370227805503277,0.0332715245579343,Stata
Wagepan,Only_Never_Switchers,Effect,2,0.0013780942122631,0.040266679861073,Stata
Wagepan,Only_Never_Switchers,Effect,3,0.0223836187328801,0.0413721998950736,Stata
Wagepan,Only_Never_Switchers,Effect,4,-0.0017149827983487,0.0462793501869635,Stata
