"Example","Model","Effect","Estimate_Stata","SE_Stata","Estimate_CRAN","SE_CRAN","Estimate_Polars","SE_Polars","Diff_Polars_Stata","Diff_CRAN_Stata"
"Deryugina","Baseline",1,0.0108629235458889,".",0.0108629234897964,0.0016169631261746,0.0108629234897964,0.0016169631261746,5.60925004361446e-11,5.60925004361446e-11
"Deryugina","Baseline",10,0.0494015810449095,".",0.0494015841376323,0.00602901861964065,0.0494015841376323,0.00602901861964065,3.09272280007988e-09,3.09272280007988e-09
"Deryugina","Baseline",11,0.0518122837750441,".",0.051812285209058,0.00610549191090275,0.051812285209058,0.00610549191090274,1.43401390068076e-09,1.43401390068076e-09
"Deryugina","Baseline",2,0.0127917844925642,".",0.0127917837790873,0.00236509733740632,0.0127917837790872,0.00236509733740632,7.13476999703033e-10,7.13476900823795e-10
"Deryugina","Baseline",3,0.0158004616427043,".",0.0158004613717625,0.00300746061170517,0.0158004613717625,0.00300746061170517,2.70941800245561e-10,2.70941800245561e-10
"Deryugina","Baseline",4,0.0163886433729818,".",0.0163886434481568,0.00339298013330418,0.0163886434481567,0.00339298013330418,7.51749010263758e-11,7.51750016403374e-11
"Deryugina","Baseline",5,0.0230699228957321,".",0.0230699233229095,0.00389684700340045,0.0230699233229095,0.00389684700340045,4.27177401091106e-10,4.27177401091106e-10
"Deryugina","Baseline",6,0.02682852041142,".",0.0268285222080967,0.00425075075879542,0.0268285222080965,0.00425075075879542,1.79667649854998e-09,1.7966766997779e-09
"Deryugina","Baseline",7,0.0377147289757426,".",0.0377147267972461,0.00449256856996367,0.0377147267972462,0.00449256856996367,2.17849640410384e-09,2.17849650124835e-09
"Deryugina","Baseline",8,0.0392922482316796,".",0.0392922472125829,0.00503943584056353,0.039292247212583,0.00503943584056354,1.01909659877553e-09,1.01909670285893e-09
"Deryugina","Baseline",9,0.0351089687737702,".",0.0351089739263345,0.00551851736934595,0.0351089739263345,0.00551851736934596,5.15256429883815e-09,5.15256429883815e-09
"Favara_Imbs","Baseline",1,0.0024102751877014,".",0.00241027522111182,0.00299878882855916,0.00241027522111182,0.00555992212781852,3.34104202637242e-11,3.34104202637242e-11
"Favara_Imbs","Baseline",2,0.0055268159428213,".",0.00552681590962132,0.00388879899431986,0.00552681590962133,0.0060966692060114,3.31999705505126e-11,3.31999800914917e-11
"Favara_Imbs","Baseline",3,0.0081491954767889,".",0.0081491954413895,0.0051571048632595,0.00814919544138948,0.00891207153943461,3.53994195068097e-11,3.53994004248515e-11
"Favara_Imbs","Baseline",4,0.0116606590841804,".",0.0116606590571965,0.00591468886121769,0.0116606590571964,0.0117811391709236,2.69840001038135e-11,2.69839012245754e-11
"Favara_Imbs","Baseline",5,0.0173245008139858,".",0.0173245008725871,0.00654886096840859,0.0173245008725871,0.0119493161430567,5.86013008951891e-11,5.86013008951891e-11
"Wagepan","Baseline",1,0.0409507582209782,".",0.0409507589219753,0.0339709086428129,0.0409507589219753,0.0339709086428129,7.00997100644418e-10,7.00997100644418e-10
"Wagepan","Baseline",2,0.0218878152185475,".",0.0218878146052098,0.0393387790490505,0.0218878146052099,0.0393387790490505,6.13337599458808e-10,6.13337700072769e-10
"Wagepan","Baseline",3,0.0311019248212154,".",0.0311019215194921,0.0425975834153738,0.0311019215194921,0.0425975834153738,3.30172330101353e-09,3.30172330101353e-09
"Wagepan","Baseline",4,0.0181626955133226,".",0.0181627023972097,0.047209970184856,0.0181627023972096,0.047209970184856,6.88388700209597e-09,6.88388709924048e-09
"Wagepan","Baseline",5,-0.0499657834854421,".",-0.0499657708663151,0.0546254344032438,-0.0499657708663151,0.0546254344032438,1.26191270002907e-08,1.26191270002907e-08
"Wagepan","Cluster",1,0.0409507582209782,".",0.0409507589219753,0.0285618462484819,0.0409507589219753,0.523413304659009,7.00997100644418e-10,7.00997100644418e-10
"Wagepan","Cluster",2,0.0218878152185475,".",0.0218878146052098,0.0255911893841904,0.0218878146052099,0.198944176036818,6.13337599458808e-10,6.13337700072769e-10
"Wagepan","Cluster",3,0.0311019248212154,".",0.0311019215194921,0.0278902117429067,0.0311019215194921,0.14410414685555,3.30172330101353e-09,3.30172330101353e-09
