"Model","Stata","R_CRAN","R_Polars","Polars_vs_Stata","CRAN_vs_Stata","Polars_vs_CRAN"
"Baseline",0.685,1.0928008556366,1.76869893074036,0.39,0.63,0.62
"Placebos",0.825,1.73521685600281,2.3805079460144,0.35,0.48,0.73
"Normalized",0.846,1.90731501579285,2.38767385482788,0.35,0.44,0.8
"Controls",1.271,3.49218916893005,3.39914703369141,0.37,0.36,1.03
"Trends_Nonparam",0.882,1.66006517410278,2.37152504920959,0.37,0.53,0.7
"Trends_Lin",2.946,4.23848605155945,9.61056995391846,0.31,0.7,0.44
"Cluster",0.896,1.99405694007874,2.94945597648621,0.3,0.45,0.68
"Same_Switchers",1.282,1.95729088783264,3.19759702682495,0.4,0.65,0.61
"Switchers_In",0.52,0.837082147598267,0.905392169952393,0.57,0.62,0.92
"Switchers_Out",0.503,0.779160022735596,1.07867193222046,0.47,0.65,0.72
