Example,Model,Runtime_sec,Platform
Wagepan,Baseline,.667,Stata
Wagepan,Placebos,.774,Stata
Wagepan,Normalized,.83,Stata
Wagepan,Controls,1.302,Stata
Wagepan,Trends_Nonparam,.879,Stata
Wagepan,Trends_Lin,2.945,Stata
Wagepan,Continuous,2.557,Stata
Wagepan,Weight,.861,Stata
Wagepan,Cluster,.886,Stata
Wagepan,Same_Switchers,1.293,Stata
Wagepan,Same_Switchers_Placebo,1.406,Stata
Wagepan,Switchers_In,.476,Stata
Wagepan,Switchers_Out,.489,Stata
Wagepan,Only_Never_Switchers,.832,Stata
Wagepan,CI_Level_90,.844,Stata
Wagepan,CI_Level_99,.851,Stata
Wagepan,Less_Conservative_SE,1.135,Stata
Wagepan,Bootstrap,.86,Stata
Wagepan,Dont_Drop_Larger_Lower,.851,Stata
Wagepan,Effects_Equal,.854,Stata
Favara_Imbs,Baseline,.8120000000000001,Stata
Deryugina,Baseline,8.945,Stata
Gentzkow,Non_Normalized,2.13,Stata
Gentzkow,Normalized,2.239,Stata
