unit,state,unit_fe,group,g,year,year_fe,treat,rel_year,rel_year_binned,error,te,te_dynamic,dep_var
1,5,0.718703388030299,Group 3,0,1990,-0.107771526185977,FALSE,Inf,Inf,-0.389488637905827,0,0,0.221443223938495
1,5,0.718703388030299,Group 3,0,1991,1.02819566035437,FALSE,Inf,Inf,-0.94994359743803,0,0,0.796955450946635
1,5,0.718703388030299,Group 3,0,1992,0.233654809023421,FALSE,Inf,Inf,-0.34787959191673,0,0,0.60447860513699
1,5,0.718703388030299,Group 3,0,1993,-1.0518712472608,FALSE,Inf,Inf,-0.60192409081384,0,0,-0.935091950044343
1,5,0.718703388030299,Group 3,0,1994,0.34884030313606,FALSE,Inf,Inf,1.73899711073123,0,0,2.80654080189759
1,5,0.718703388030299,Group 3,0,1995,-0.244234160366644,FALSE,Inf,Inf,3.14201981451753,0,0,3.61648904218118
1,5,0.718703388030299,Group 3,0,1996,0.595901199107729,FALSE,Inf,Inf,0.219273085616659,0,0,1.53387767275469
1,5,0.718703388030299,Group 3,0,1997,0.403462210860798,FALSE,Inf,Inf,1.50229138052761,0,0,2.62445697941871
1,5,0.718703388030299,Group 3,0,1998,0.515445521009617,FALSE,Inf,Inf,-0.863940628090705,0,0,0.370208280949211
1,5,0.718703388030299,Group 3,0,1999,-0.883088075453882,FALSE,Inf,Inf,0.650732476219498,0,0,0.486347788795915
1,5,0.718703388030299,Group 3,0,2000,0.616623929056758,FALSE,Inf,Inf,-1.39954652553861,0,0,-0.0642192084515529
1,5,0.718703388030299,Group 3,0,2001,0.321951939937819,FALSE,Inf,Inf,2.44259379403716,0,0,3.48324912200528
1,5,0.718703388030299,Group 3,0,2002,0.722115448384555,FALSE,Inf,Inf,-0.635491808533025,0,0,0.805327027881829
1,5,0.718703388030299,Group 3,0,2003,0.671485368675437,FALSE,Inf,Inf,1.70249645415722,0,0,3.09268521086296
1,5,0.718703388030299,Group 3,0,2004,-1.0049973354522,FALSE,Inf,Inf,-0.680974254684313,0,0,-0.967268202106218
1,5,0.718703388030299,Group 3,0,2005,0.0294920228351355,FALSE,Inf,Inf,-0.78622899033851,0,0,-0.038033579473076
1,5,0.718703388030299,Group 3,0,2006,-0.227385152535654,FALSE,Inf,Inf,-0.449082681399401,0,0,0.0422355540952442
1,5,0.718703388030299,Group 3,0,2007,0.05314386317364,FALSE,Inf,Inf,-1.30624908851225,0,0,-0.534401837308309
1,5,0.718703388030299,Group 3,0,2008,1.17443440602748,FALSE,Inf,Inf,-0.116599694038413,0,0,1.77653810001936
